#fusion	count_of_samples	%ofSamples
SCARB1--CYP17A1	7	0.19
SBNO2--HBB	7	0.19
SAA1--HPX	7	0.19
S100A9--IFITM2	7	0.19
S100A9--DSP	7	0.19
S100A9--ACTG1	7	0.19
S100A8--RHCG	7	0.19
S100A8--KRT16	7	0.19
S100A6--SFTPC	7	0.19
S100A6--HBB	7	0.19
S100A12--S100A9	7	0.19
RYR1--TTN	7	0.19
RPS4X--KRT13	7	0.19
RPS24--KRT13	7	0.19
RPS2--KRT13	7	0.19
RPS10--TUFT1	7	0.19
RPS10--MACROD2	7	0.19
RPLP1--DES	7	0.19
RPL30--TG	7	0.19
RPL3--PRSS1	7	0.19
RPL28--TXNRD1	7	0.19
RPL28--HBB	7	0.19
RPL18--TG	7	0.19
RPL15|NKIRAS1--PCCA	7	0.19
RPL13--TG	7	0.19
RHOB--HBA2	7	0.19
RHCG--S100A8	7	0.19
RHCG--CSTB	7	0.19
REG3A--PRSS1	7	0.19
REG1B--PNLIP	7	0.19
REG1B--CELA3B	7	0.19
REG1A--PDE3A	7	0.19
RBPJL|MATN4--RBPJL	7	0.19
RBP4--FGG	7	0.19
RASGRP4--HBA2	7	0.19
RABL6--TMEM141	7	0.19
PYGB|ABHD12--PYGB	7	0.19
PTRF--SFTPA1	7	0.19
PTRF--DES	7	0.19
PTMS--TG	7	0.19
PTMS--SERPINA1	7	0.19
PTMS--DES	7	0.19
PTMA--KRT13	7	0.19
PTGDS--MYH6	7	0.19
PSMD4--CLDN14	7	0.19
PSAP--SEMG1	7	0.19
PSAP--KRT4	7	0.19
PRSS1--LENG8	7	0.19
PRRC2B--TG	7	0.19
PRKAR1A--TG	7	0.19
PREX1--HBA2	7	0.19
PPP1R18--HBA2	7	0.19
PPDPF--TG	7	0.19
POLR2A--KRT13	7	0.19
PNLIP--REG1B	7	0.19
PLXNB2--KRT13	7	0.19
PLIN4--SPARC	7	0.19
PLIN4--GSN	7	0.19
PLEC--CKM	7	0.19
PLA2G1B--CELA2A	7	0.19
PKP3--KRT4	7	0.19
PITX1|CTC-203F4.1--PITX1	7	0.19
PIP--SEMG1	7	0.19
PIK3R2|IFI30--SFTPC	7	0.19
PIGR--FCGBP	7	0.19
PGC--RPL13A	7	0.19
PGC--ACTB	7	0.19
PGA5--RPL8	7	0.19
PGA5--GIF	7	0.19
PGA5--ATP4B	7	0.19
PGA3--SRRM2	7	0.19
PGA3--GKN1	7	0.19
PGA3--ACTB	7	0.19
PFN1--KRT13	7	0.19
PDLIM7--FLNA	7	0.19
PDE4DIP--CKM	7	0.19
PDE3A--ZG16B	7	0.19
PDE3A--SFTPA1	7	0.19
PDE3A--SEMG1	7	0.19
PDE3A--CPA2	7	0.19
PCSK7|TAGLN--VIM	7	0.19
PCSK7|TAGLN--PCSK7	7	0.19
PCSK7|TAGLN--KRT13	7	0.19
PCSK7|TAGLN--EEF2	7	0.19
PCSK7|TAGLN--CLU	7	0.19
PCNP--TTC7B	7	0.19
PCBD2--TNNT2	7	0.19
PCBD2--TF	7	0.19
PCBD2--SFTPA1	7	0.19
OGDH--TG	7	0.19
OBSL1--TG	7	0.19
OBSCN--TPM2	7	0.19
NRAP--TTN	7	0.19
NR1D1|THRA--THRA	7	0.19
NPPA--DKK3	7	0.19
NOTCH3--KRT13	7	0.19
NMNAT1--CTNNBIP1	7	0.19
NEB--MYH2	7	0.19
NEB--ALDOA	7	0.19
NDUFA4--ZCCHC10	7	0.19
NDRG1--KRT6A	7	0.19
NDE1|MYH11--SNRNP70	7	0.19
NDE1|MYH11--SEMG1	7	0.19
NDE1|MYH11--PIGR	7	0.19
NDE1|MYH11--LPP	7	0.19
NDE1|MYH11--HSPG2	7	0.19
NDE1|MYH11--GAPDH	7	0.19
NDE1|MYH11--CKB	7	0.19
NDE1|MYH11--AES	7	0.19
NBEAL2--KRT13	7	0.19
MYLK--MYL9	7	0.19
MYL9--TG	7	0.19
MYL9--MYH6	7	0.19
MYL9--EEF2	7	0.19
MYL9--COL6A1	7	0.19
MYL9--AHNAK	7	0.19
MYL3--MYL4	7	0.19
MYL2--MYL9	7	0.19
MYL2--MYH6	7	0.19
MYL2--GAPDH	7	0.19
MYL1--MYH7	7	0.19
MYL1--CKM	7	0.19
MYH7--XIRP1	7	0.19
MYH7--PDE3A	7	0.19
MYH7--MYH9	7	0.19
MYH7--MYH3	7	0.19
MYH7--MYH14	7	0.19
MYH7--HSPB6	7	0.19
MYH7--HRC	7	0.19
MYH2--TNNI1	7	0.19
MYH2--TCAP	7	0.19
MYH2--NEB	7	0.19
MYH2--MYH8	7	0.19
MYH2--ALDOA	7	0.19
MYH14--SFTPC	7	0.19
MYH14--KRT6A	7	0.19
MYBPC1--FHL1	7	0.19
MXD1--HBB	7	0.19
MUC6--SEMG1	7	0.19
MT1G--MT1H	7	0.19
MSMB--KLK2	7	0.19
MMP15--TG	7	0.19
MIOX--GPX3	7	0.19
MIOX--CNGB3	7	0.19
MFGE8--BGN	7	0.19
MFAP4--SFTPC	7	0.19
MCAM--NDE1|MYH11	7	0.19
MBP--ABCA2	7	0.19
MB--TPM1	7	0.19
MB--SOD2	7	0.19
MB--HSPB7	7	0.19
MB--EEF2	7	0.19
MAP1LC3B--MAP1LC3B2	7	0.19
MAL--CRNN	7	0.19
MACF1--TG	7	0.19
LYZ--SFTPB	7	0.19
LYZ--HBA2	7	0.19
LYPD3--KRT5	7	0.19
LTF--HBA2	7	0.19
LSP1--HBA1	7	0.19
LRP1B--COPRS	7	0.19
LRP10--KRT4	7	0.19
LRP1--SFTPA2	7	0.19
LRG1--ALB	7	0.19
LPCAT1--SFTPC	7	0.19
LMNA--KRT6A	7	0.19
LIMD2--HBB	7	0.19
LIMCH1--SFTPC	7	0.19
LGALS4--PIGR	7	0.19
LGALS3BP--SFTPA1	7	0.19
LEFTY1--LEFTY2	7	0.19
LAMP1--TG	7	0.19
KRT78--CRNN	7	0.19
KRT76--KRT13	7	0.19
KRT6B--SPRR3	7	0.19
KRT6B--KRT17	7	0.19
KRT6A--S100A16	7	0.19
KRT6A--NDRG1	7	0.19
KRT6A--ALDH3A1	7	0.19
KRT5--PKP1	7	0.19
KRT5--IVL	7	0.19
KRT5--IL1RN	7	0.19
KRT5--FAM129B	7	0.19
KRT5--ENO1	7	0.19
KRT5--AHNAK	7	0.19
KRT4--ZFP36	7	0.19
KRT4--UBC	7	0.19
KRT4--RPS3	7	0.19
KRT4--RPL13A	7	0.19
KRT4--PLEC	7	0.19
KRT4--LY6D	7	0.19
KRT4--GRN	7	0.19
KRT4--FOS	7	0.19
KRT4--DUSP1	7	0.19
KRT4--CAPN1	7	0.19
KRT4--ATP2A2	7	0.19
KRT3--KRT14	7	0.19
KRT19--KRT16	7	0.19
KRT16--S100A8	7	0.19
KRT16--KRT6C	7	0.19
KRT16--KRT1	7	0.19
KRT15--KRT14	7	0.19
KRT14--SPRR2A	7	0.19
KRT13--TUBB4B	7	0.19
KRT13--TUBA1C	7	0.19
KRT13--TTN	7	0.19
KRT13--TNNT1	7	0.19
KRT13--TMBIM6	7	0.19
KRT13--TCAP	7	0.19
KRT13--SPRR2B	7	0.19
KRT13--S100A10	7	0.19
KRT13--RPL28	7	0.19
KRT13--RPL18	7	0.19
KRT13--PRDX1	7	0.19
KRT13--NUMA1	7	0.19
KRT13--MB	7	0.19
KRT13--LAD1	7	0.19
KRT13--KLK13	7	0.19
KRT13--HLA-C	7	0.19
KRT13--HDLBP	7	0.19
KRT13--FUS	7	0.19
KRT13--FOSB	7	0.19
KRT13--FLNC	7	0.19
KRT13--FAM83H	7	0.19
KRT13--EEF1D	7	0.19
KRT13--CTNNA1	7	0.19
KRT13--CKM	7	0.19
KRT13--AHNAK2	7	0.19
KRT13--ACTG2	7	0.19
KRT1--PDE3A	7	0.19
KRBOX1|CYP8B1--HP	7	0.19
KLK3--RPL3	7	0.19
KLK3--CSRP1	7	0.19
KLK3--ATP2B4	7	0.19
KLK3--ACTB	7	0.19
KLK2--DES	7	0.19
KLK13--KRT13	7	0.19
KLHL41--CKM	7	0.19
KLHL41--ACTA1	7	0.19
KIF1C--MBP	7	0.19
KIF1C--DES	7	0.19
KIF1C--ACTA1	7	0.19
KIAA1191--QRFPR	7	0.19
JUP--SPRR3	7	0.19
JUN--SFTPC	7	0.19
ITM2B--KRT13	7	0.19
ITIH4--APOA1	7	0.19
ITIH3--FGA	7	0.19
ITGB4|GALK1--ITGB4	7	0.19
ITGB4--ITGB4|GALK1	7	0.19
INS-IGF2|INS--CTRB2	7	0.19
IGFBP5--UMOD	7	0.19
IGFBP4--GPX3	7	0.19
IGFBP1--ALB	7	0.19
IGF2--HP	7	0.19
IFITM1--HBB	7	0.19
ICAM1--SFTPB	7	0.19
ICAM1--SFTPA2	7	0.19
HSPG2--NDE1|MYH11	7	0.19
HSPB7--NPPA	7	0.19
HSPB6--TTN	7	0.19
HSPB6--MB	7	0.19
HSPB1--NDE1|MYH11	7	0.19
HSPB1--ACTA1	7	0.19
HSD3B2--CYP11B1	7	0.19
HSD3B1--HSD3B2	7	0.19
HRG--APOA1	7	0.19
HPX--CRP	7	0.19
HPX--APOA1	7	0.19
HP--EPHX1	7	0.19
HP--AGXT	7	0.19
HNRNPUL1--TG	7	0.19
HLA-DRB5--SFTPC	7	0.19
HLA-DPA1--SFTPC	7	0.19
HLA-C--CD74	7	0.19
HLA-B--KRT13	7	0.19
HLA-B--CD74	7	0.19
HLA-B--ALB	7	0.19
HLA-A--KRT13	7	0.19
HK3--HBA1	7	0.19
HFM1--KRT13	7	0.19
HBB--ZFP36L1	7	0.19
HBB--RPL13A	7	0.19
HBB--RBM38	7	0.19
HBB--PLIN2	7	0.19
HBB--PDE4B	7	0.19
HBB--MCL1	7	0.19
HBB--MBP	7	0.19
HBB--LIMD2	7	0.19
HBB--IL4R	7	0.19
HBB--HBE1|HBG2	7	0.19
HBB--GABARAP	7	0.19
HBB--FCGR2A	7	0.19
HBB--DNAJB1	7	0.19
HBB--DDIT4	7	0.19
HBB--CTSB	7	0.19
HBB--C17orf62	7	0.19
HBB--BSG	7	0.19
HBB--BASP1	7	0.19
HBB--ARPC2	7	0.19
HBB--AQP9	7	0.19
HBB--ANPEP	7	0.19
HBA2--TAPBP	7	0.19
HBA2--SBNO2	7	0.19
HBA2--RPL10	7	0.19
HBA2--MSRB1	7	0.19
HBA2--LYZ	7	0.19
HBA2--GABARAP	7	0.19
HBA2--EEF1G	7	0.19
HBA2--ANPEP	7	0.19
HBA1--EEF2	7	0.19
HBA1--ALAS2	7	0.19
H2AFY--CTC-203F4.1|H2AFY	7	0.19
H2AFV--C5orf64	7	0.19
GUK1--HBA2	7	0.19
GSN--KRT4	7	0.19
GPX3--PDE3A	7	0.19
GPX3--IGFBP4	7	0.19
GPX3--GSN	7	0.19
GPX3--FXYD6-FXYD2|FXYD2	7	0.19
GPX3--DES	7	0.19
GPX3--ASS1	7	0.19
GPX3--APP	7	0.19
GPX3--ANPEP	7	0.19
GPANK1|CSNK2B--CSNK2B	7	0.19
GP2--P4HB	7	0.19
GP2--AMY2A	7	0.19
GNB2L1--KRT4	7	0.19
GNAS--KRT13	7	0.19
GAPDH--TNNT1	7	0.19
GAPDH--DLGAP1	7	0.19
GAPDH--ALB	7	0.19
GANAB--TG	7	0.19
GABARAP--HBA2	7	0.19
FTL--HLA-DRA	7	0.19
FRAS1--SERBP1	7	0.19
FPR1--HBA1	7	0.19
FOXE1--TG	7	0.19
FOSB--KRT13	7	0.19
FN1--TNS1	7	0.19
FN1--SEMG1	7	0.19
FN1--COL6A2	7	0.19
FN1--AEBP1	7	0.19
FLNC--MYH6	7	0.19
FLNC--MYBPC3	7	0.19
FLNA--SORBS1	7	0.19
FLNA--PDLIM7	7	0.19
FLNA--PDE3A	7	0.19
FLNA--MGP	7	0.19
FLNA--HSPB6	7	0.19
FLNA--ACTG1	7	0.19
FLNA--ACPP	7	0.19
FKBP8--TG	7	0.19
FHL1--TNNT1	7	0.19
FHL1--NDE1|MYH11	7	0.19
FGG--AMBP	7	0.19
FGB--SPRN|CYP2E1	7	0.19
FGB--CFB	7	0.19
FGB--APOE	7	0.19
FGB--AMBP	7	0.19
FGA--SERPINF2	7	0.19
FGA--MT2A	7	0.19
FGA--LRG1	7	0.19
FGA--FGL1	7	0.19
FGA--C1S	7	0.19
FERMT3--HBB	7	0.19
FBLN1--NDE1|MYH11	7	0.19
FASN--SCD	7	0.19
FAAH2--MTHFD1	7	0.19
ENO3--MYH7	7	0.19
ENO1--UMOD	7	0.19
ENO1--HBB	7	0.19
EMP2--SFTPA1	7	0.19
EMP1--TG	7	0.19
ELN--NDE1|MYH11	7	0.19
ELN--MYL9	7	0.19
EIF4H--OSBP2	7	0.19
EIF4G1--TG	7	0.19
EIF3M|CCDC73--EIF3M	7	0.19
EGR1--KRT4	7	0.19
EEF2--TTN	7	0.19
EEF2--KRT1	7	0.19
EEF1D--TG	7	0.19
EEF1A1--REG1A	7	0.19
EEF1A1--NDE1|MYH11	7	0.19
ECM1--KRT6A	7	0.19
DYNC1H1--TG	7	0.19
DNM2--HBB	7	0.19
DMKN--TMEM99|KRT10	7	0.19
DLG2--HFM1	7	0.19
DGCR6--DGCR6L	7	0.19
DFNB59--NUDC	7	0.19
DES--TXNIP	7	0.19
DES--TGM2	7	0.19
DES--RHOB	7	0.19
DES--PGA5	7	0.19
DES--PDE3A	7	0.19
DES--ITGA5	7	0.19
DES--COL1A2	7	0.19
DES--BCL6	7	0.19
DES--ANKRD23|ANKRD39	7	0.19
DDIT4--HBB	7	0.19
DCAF6--FAM189A1	7	0.19
CYR61--SFTPC	7	0.19
CYBA--HBA2	7	0.19
CYB561A3|DAK--CYB561A3	7	0.19
CUZD1--REG1A	7	0.19
CTSB--SFTPB	7	0.19
CTRB2--PDE3A	7	0.19
CTNND1--TG	7	0.19
CTNNA1--KRT13	7	0.19
CSRP1--PCSK7|TAGLN	7	0.19
CSRP1--KLK3	7	0.19
CSNK1D--HBB	7	0.19
CSF3R--SLC11A1	7	0.19
CRP--SPRN|CYP2E1	7	0.19
CRP--ITIH4	7	0.19
CRNN--SFN	7	0.19
CRNN--KRT16	7	0.19
CRNN--CSTB	7	0.19
CRNN--ANXA1	7	0.19
CRABP2--KRT13	7	0.19
CPB1--AMY2A	7	0.19
CPA2--REG1B	7	0.19
CPA2--PNLIPRP1	7	0.19
CPA1--RBPJL	7	0.19
CPA1--INS-IGF2|INS	7	0.19
COL4A2--COL4A1	7	0.19
COL23A1--TG	7	0.19
COL1A2--FLNA	7	0.19
COL1A1--SFTPB	7	0.19
COL1A1--IGFBP5	7	0.19
COL18A1--GPX3	7	0.19
CNP--MBP	7	0.19
CNN2--PPP1R12C	7	0.19
CLU--SEMG2	7	0.19
CLU--SEMG1	7	0.19
CLU--DES	7	0.19
CKM--PDE4DIP	7	0.19
CKM--NFE2L1	7	0.19
CKM--MYLPF	7	0.19
CKM--ADCK3	7	0.19
CKB--TG	7	0.19
CKB--NDE1|MYH11	7	0.19
CKB--FLNA	7	0.19
CIRBP--TG	7	0.19
CFB--FGB	7	0.19
CFB--APOA1	7	0.19
CES2--KRT13	7	0.19
CELA3B--CPA2	7	0.19
CELA3A--BPTF	7	0.19
CELA2B--CEL	7	0.19
CEL--CELA2B	7	0.19
CEACAM1--CEACAM3	7	0.19
CD74--CTSD	7	0.19
CD74--ACTB	7	0.19
CD68--SFTPB	7	0.19
CAT--ALB	7	0.19
CAPNS1--KRT13	7	0.19
CACNA2D4--LAMP1	7	0.19
CA3--CKM	7	0.19
C9--ALB	7	0.19
C3--MAT1A	7	0.19
C3--ITIH4	7	0.19
C1QC--SFTPC	7	0.19
C1QB--SFTPA1	7	0.19
C17orf62--HBB	7	0.19
C16orf96--SUB1	7	0.19
BTN3A1--BTN3A2	7	0.19
BPIFB1--KRT13	7	0.19
BLOC1S5-TXNDC5|TXNDC5--TXNDC5	7	0.19
BIN1--DES	7	0.19
BGN--SFTPC	7	0.19
BGN--COL6A2	7	0.19
BCAS3--RPL23A	7	0.19
BASP1--HBB	7	0.19
BAAT--ALB	7	0.19
B2M--KRT13	7	0.19
ATP6V0C--HBB	7	0.19
ATP5G3--CAGE1	7	0.19
ATP5B--TG	7	0.19
ATP5B--KRT13	7	0.19
ATP2A2--KRT13	7	0.19
ATP2A1--MYH2	7	0.19
ATP1A4--ATP1A2	7	0.19
ATP1A1--SLC12A1	7	0.19
ATP1A1--SFTPC	7	0.19
ATP1A1--SFTPB	7	0.19
ATP1A1--SFTPA1	7	0.19
ATHL1--CTRB1	7	0.19
ATF5--HP	7	0.19
ASS1--SEMG1	7	0.19
ASGR2--ALB	7	0.19
ARHGEF1--HBB	7	0.19
ARF3--TG	7	0.19
ARF1--SPPL3	7	0.19
AQP9--HBB	7	0.19
AQP3--SFN	7	0.19
APOM|BAG6--BAG6	7	0.19
APOE--TF	7	0.19
APOE--SPRN|CYP2E1	7	0.19
APOE--ORM1	7	0.19
APOE--AMBP	7	0.19
APOC4-APOC2|APOC2--FGA	7	0.19
APOC3--TF	7	0.19
APOC3--FGB	7	0.19
APOC3--ALDOB	7	0.19
APOA1--HPX	7	0.19
APOA1--CFB	7	0.19
APOA1--APOC3	7	0.19
ANXA6--TG	7	0.19
ANXA1--SFN	7	0.19
ANXA1--KRT14	7	0.19
ANXA1--CSTB	7	0.19
ANXA1--CRNN	7	0.19
ANKRD23|ANKRD39--DES	7	0.19
ANKRD23|ANKRD39--CKM	7	0.19
AMBP--FGB	7	0.19
ALPL--HBA1	7	0.19
ALDOB--FTL	7	0.19
ALDOB--AQP1	7	0.19
ALDOB--APOC3	7	0.19
ALDH3A1--KRT6A	7	0.19
ALB--SOD1	7	0.19
ALB--SERPIND1|PI4KA	7	0.19
ALB--PSAP	7	0.19
ALB--PCK2|NRL	7	0.19
ALB--MGST1	7	0.19
ALB--IGFBP1	7	0.19
ALB--DHCR24	7	0.19
ALB--ADH1A	7	0.19
ALB--ACTB	7	0.19
AKT2--TG	7	0.19
AKNA--HBA2	7	0.19
AHNAK--S100A9	7	0.19
AHNAK--MYL9	7	0.19
AEBP2--EEF1A1	7	0.19
AEBP1--PCSK7|TAGLN	7	0.19
ADRBK1--HBA2	7	0.19
ADAM8--HBA2	7	0.19
ACTN4--TG	7	0.19
ACTN2--TPM2	7	0.19
ACTG2--CNN1	7	0.19
ACTG1--ALB	7	0.19
ACTB--HP	7	0.19
ACTA1--TNNT2	7	0.19
ACTA1--SVIL	7	0.19
ACTA1--STAC3	7	0.19
ACTA1--PKM	7	0.19
ACTA1--PDE4DIP	7	0.19
ACTA1--KIF1C	7	0.19
ACPP--DES	7	0.19
A2M--CD74	7	0.19
ZNF354A--ZNF354B	6	0.16
ZNF185--KRT4	6	0.16
ZFP36--KRT6A	6	0.16
ZFP36--EGR1	6	0.16
ZDHHC18--HBB	6	0.16
YWHAE--TG	6	0.16
XPO6--HBA1	6	0.16
XIRP1--DES	6	0.16
VTN--CRP	6	0.16
VSIG2|NRGN--VSIG2	6	0.16
VSIG2--VSIG2|NRGN	6	0.16
VSIG10L--KRT13	6	0.16
VIM--PCSK7|TAGLN	6	0.16
VIM--GSN	6	0.16
VIM--GPX3	6	0.16
VIM--EEF2	6	0.16
UNC13D--HBB	6	0.16
UMOD--TIMP3|SYN3	6	0.16
UMOD--PKM	6	0.16
UMOD--PDE3A	6	0.16
UMOD--FXYD6-FXYD2|FXYD2	6	0.16
UMOD--ENO1	6	0.16
UMOD--CD74	6	0.16
UBXN6--HBB	6	0.16
UBXN6--HBA2	6	0.16
UBXN6--HBA1	6	0.16
UBC--SFTPA2	6	0.16
UBB--ALB	6	0.16
TXNIP--SFTPC	6	0.16
TXNIP--HBA1	6	0.16
TXN--LYPD6B	6	0.16
TUBB--KRT13	6	0.16
TUBA8--TUBA1C	6	0.16
TTN--YBX3	6	0.16
TTN--EEF1A2	6	0.16
TTBK2--KRT8	6	0.16
TSPEAR|KRTAP10-9--TSPEAR|KRTAP10-2	6	0.16
TSC22D3--SFTPC	6	0.16
TSC22D1--TG	6	0.16
TRIP11--DTWD2	6	0.16
TRIM29--KRT5	6	0.16
TRIM2--ANXA2	6	0.16
TPT1--KLK3	6	0.16
TPM2--TNNI2	6	0.16
TPM2--TNNI1	6	0.16
TPM2--NEB	6	0.16
TPM2--AEBP1	6	0.16
TNS1--ACTA2	6	0.16
TNNT3--ALDOA	6	0.16
TNNT2--HSPB7	6	0.16
TNNT1--MYBPC1	6	0.16
TNNI2--TPM2	6	0.16
TNNI2--CKM	6	0.16
TNNI1--NEB	6	0.16
TNNC1--TTN	6	0.16
TNFRSF1B--HBA1	6	0.16
TMSB4X--HBA1	6	0.16
TMSB10--AGAP1	6	0.16
TMEM99|KRT10--LOR	6	0.16
TMEM99|KRT10--JUP	6	0.16
TMEM99|KRT10--AHNAK	6	0.16
TMEM66--TG	6	0.16
TMEM57--SYF2	6	0.16
TMCC2--HBB	6	0.16
TLN1--HBA2	6	0.16
TKT--TG	6	0.16
TIMP3|SYN3--CD74	6	0.16
TIMP3|SYN3--ACTB	6	0.16
TIMP1|SYN1--FLNA	6	0.16
TIMM17B|PQBP1--PQBP1	6	0.16
THBS1--SFTPC	6	0.16
THBS1--NDE1|MYH11	6	0.16
TG|SLA--HBB	6	0.16
TG|SLA--EEF1A1	6	0.16
TGM4--KLK3	6	0.16
TGM3--KRT6B	6	0.16
TGM2--SFTPA1	6	0.16
TGM2--ACTA2	6	0.16
TGM1--KRT5	6	0.16
TG--YWHAE	6	0.16
TG--TMEM66	6	0.16
TG--TKT	6	0.16
TG--SORD	6	0.16
TG--SLC20A2	6	0.16
TG--SELENBP1	6	0.16
TG--RPN1	6	0.16
TG--RPL37A	6	0.16
TG--RPL28	6	0.16
TG--RPL11	6	0.16
TG--RHOB	6	0.16
TG--POR	6	0.16
TG--PLEC	6	0.16
TG--PER1	6	0.16
TG--NPC2	6	0.16
TG--NACA	6	0.16
TG--MXRA7	6	0.16
TG--MT1F	6	0.16
TG--MCL1	6	0.16
TG--LAMP1	6	0.16
TG--LAMB2	6	0.16
TG--KCNQ1	6	0.16
TG--KCNJ16	6	0.16
TG--ITGA3	6	0.16
TG--HSPB1	6	0.16
TG--HSPA8	6	0.16
TG--HNRNPUL1	6	0.16
TG--HFM1	6	0.16
TG--H3F3B	6	0.16
TG--GLTSCR2	6	0.16
TG--EIF4G1	6	0.16
TG--DDX5	6	0.16
TG--DDOST	6	0.16
TG--CTNND1	6	0.16
TG--CST3	6	0.16
TG--CLDN4	6	0.16
TG--CIRBP	6	0.16
TG--CCNI	6	0.16
TG--CALM3	6	0.16
TG--ANXA6	6	0.16
TG--ADD1	6	0.16
TG--ABLIM1	6	0.16
TG--ABCA2	6	0.16
TF--SPRN|CYP2E1	6	0.16
TF--FGG	6	0.16
TCEAL3--TCEAL6	6	0.16
TCAP--KRT13	6	0.16
TCAP--ATP2A1	6	0.16
TBXAS1--HBB	6	0.16
TBC1D3--NPEPPS	6	0.16
TAGLN--TPM1	6	0.16
TAGLN--SEMG1	6	0.16
TAGLN--LMOD1	6	0.16
TAGLN--KLK3	6	0.16
TAGLN--CSRP1	6	0.16
TAGLN--BGN	6	0.16
SYNPO2--MYH7	6	0.16
SYNPO2--CKM	6	0.16
SYNE1--TG	6	0.16
SVIL--MYH7	6	0.16
SRRM2--SFTPC	6	0.16
SPRR3--PDE3A	6	0.16
SPRR2F|SPRR2B--KRT13	6	0.16
SPRR2E|SPRR2B--KRT16	6	0.16
SPRR1B--SPRR2A	6	0.16
SPRR1B--KRT14	6	0.16
SPRR1A--KRT16	6	0.16
SPRN|CYP2E1--VTN	6	0.16
SPRN|CYP2E1--SAA1	6	0.16
SPRN|CYP2E1--ITIH4	6	0.16
SPRN|CYP2E1--APOC3	6	0.16
SPRN|CYP2E1--APOA2	6	0.16
SPPL3--ARF1	6	0.16
SPOCK2--SFTPB	6	0.16
SPINK1--CELA3A	6	0.16
SPARC--FLNA	6	0.16
SOD2--HBA2	6	0.16
SOD1--ALB	6	0.16
SOCS3--SFTPA1	6	0.16
SNX5--CCDC158	6	0.16
SMTN--PCSK7|TAGLN	6	0.16
SLURP1--KRT13	6	0.16
SLC7A8--GPX3	6	0.16
SLC7A5--KRT13	6	0.16
SLC4A1--HBA2	6	0.16
SLC34A2--ACTB	6	0.16
SLC2A3--LYZ	6	0.16
SLC25A6--TG	6	0.16
SLC25A33--RPL9	6	0.16
SLC22A1--ALB	6	0.16
SLC16A3--HBA2	6	0.16
SLC12A1--GPX3	6	0.16
SLC12A1--ATP1A1	6	0.16
SH3GL1--KRT13	6	0.16
SH3BGRL3--HBA1	6	0.16
SFTPC--THBS1	6	0.16
SFTPC--SUSD2	6	0.16
SFTPC--SRRM2	6	0.16
SFTPC--LTBP2	6	0.16
SFTPC--LAPTM5	6	0.16
SFTPC--GSN	6	0.16
SFTPC--EIF4G2	6	0.16
SFTPC--APOE	6	0.16
SFTPB--MSN	6	0.16
SFTPB--EGR1	6	0.16
SFTPB--DUSP1	6	0.16
SFTPB--COL1A1	6	0.16
SFTPB--BGN	6	0.16
SFTPB--AQP1	6	0.16
SFTPA2--TMPRSS2	6	0.16
SFTPA2--SUSD2	6	0.16
SFTPA2--RPL8	6	0.16
SFTPA2--LGALS3BP	6	0.16
SFTPA2--JUNB	6	0.16
SFTPA2--APP	6	0.16
SFTPA1--TLN1	6	0.16
SFTPA1--TAGLN2	6	0.16
SFTPA1--RPL8	6	0.16
SFTPA1--PTRF	6	0.16
SFTPA1--PFN1	6	0.16
SFTPA1--MCL1	6	0.16
SFTPA1--LMNA	6	0.16
SFTPA1--FOS	6	0.16
SFTPA1--DLG2	6	0.16
SFTPA1--DCN	6	0.16
SFTPA1--COL1A1	6	0.16
SFTPA1--CALR	6	0.16
SFTPA1--ATP1A1	6	0.16
SFN--PPL	6	0.16
SERPING1--C3	6	0.16
SERPINA1--HMGCS2	6	0.16
SERPINA1--AZGP1	6	0.16
SEMG2--PIP	6	0.16
SEMG2--MUC6	6	0.16
SEMG2--FN1	6	0.16
SEMG1--TAGLN	6	0.16
SEMG1--PTGS2	6	0.16
SEMG1--PGC	6	0.16
SEMG1--NDE1|MYH11	6	0.16
SEMG1--LAPTM4A	6	0.16
SEMG1--FADS2	6	0.16
SEMG1--EEF1A1	6	0.16
SEMG1--CD9	6	0.16
SEMG1--CD81	6	0.16
SEMG1--ACTG2	6	0.16
SEMG1--ACTB	6	0.16
SEMA6A--RPS14	6	0.16
SDHC--RPA1	6	0.16
SDC4--SFTPC	6	0.16
SDC1--KRT5	6	0.16
SDC1--ALB	6	0.16
SCD--MBP	6	0.16
SBSN--KRT14	6	0.16
SBSN--CRNN	6	0.16
SAA2--SPRN|CYP2E1	6	0.16
SAA2--PAMR1	6	0.16
SAA2--AMBP	6	0.16
SAA1--ITIH4	6	0.16
SAA1--AMBP	6	0.16
S100P--PGA5	6	0.16
S100B--MBP	6	0.16
S100A9--S100A14	6	0.16
S100A9--EEF2	6	0.16
S100A9--AQP3	6	0.16
S100A8--SFN	6	0.16
S100A8--KRT6C	6	0.16
S100A6--KRT13	6	0.16
S100A2--KRT6A	6	0.16
S100A14--CRNN	6	0.16
S100A13|S100A1--TG	6	0.16
S100A13|S100A1--MYH7	6	0.16
S100A12--HBB	6	0.16
S100A11--HBA1	6	0.16
RPS9--HBA2	6	0.16
RPS8--KRT13	6	0.16
RPS6--KRT4	6	0.16
RPS23--TG	6	0.16
RPS20--RSF1	6	0.16
RPS16--KRT13	6	0.16
RPS12--HBB	6	0.16
RPLP0--TG	6	0.16
RPL8--SFTPA1	6	0.16
RPL8--PGA5	6	0.16
RPL37--TG	6	0.16
RPL3--KLK3	6	0.16
RPL23--TG	6	0.16
